 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
40:58 |     1 |     1.000e-04 |     4.5983 |          2.6277 |     3.4299 |          0.7645 |            1990
41:50 |     2 |     1.000e-04 |     3.4171 |          3.1072 |     3.9792 |          0.7643 |            1990
42:42 |     3 |     1.000e-04 |     3.6542 |          2.5239 |     3.0545 |          0.7773 |            1990
43:34 |     4 |     1.000e-04 |     3.1816 |          3.2523 |     3.5787 |          0.8439 |            1990
44:26 |     5 |     1.000e-04 |     3.5921 |          2.9979 |     3.6928 |          0.7847 |            1990
45:19 |     6 |     1.000e-04 |     2.9031 |          3.0357 |     3.7174 |          0.7483 |            1990
46:11 |     7 |     1.000e-04 |     3.0343 |          2.6879 |     3.1632 |          0.7752 |            1990
47:03 |     8 |     1.000e-04 |     4.0120 |          5.6606 |     6.9279 |          0.8764 |            1990
47:55 |     9 |     1.000e-04 |     4.2084 |          3.9175 |     4.4242 |          0.8595 |            1990
48:47 |    10 |     1.000e-04 |     2.4851 |          2.7051 |     3.1781 |          0.7475 |            1990
49:40 |    11 |     1.000e-04 |     2.6804 |          2.6325 |     3.0191 |          0.7880 |            1990
50:32 |    12 |     1.000e-04 |     2.7084 |          2.9144 |     3.3940 |          0.8009 |            1990
51:24 |    13 |     1.000e-04 |     4.7605 |          5.4056 |     6.0604 |          0.9747 |            1990
52:16 |    14 |     1.000e-04 |    33.0736 |         43.3344 |    21.7943 |          2.0091 |            1990
53:08 |    15 |     1.000e-04 |    11.4677 |          3.9719 |     3.3980 |          1.0686 |            1990
54:01 |    16 |     1.000e-04 |     3.1541 |          3.2348 |     2.9484 |          0.9443 |            1990
54:53 |    17 |     1.000e-04 |     2.7507 |          3.1774 |     3.4761 |          0.8743 |            1990
55:45 |    18 |     1.000e-04 |     2.3945 |          2.7731 |     2.9484 |          0.8136 |            1990
56:37 |    19 |     1.000e-04 |     2.2118 |          2.6952 |     2.8685 |          0.7810 |            1990
57:29 |    20 |     1.000e-04 |     2.1336 |          2.7184 |     2.9056 |          0.7815 |            1990
58:21 |    21 |     1.000e-04 |     2.9760 |          2.9070 |     2.7629 |          0.8264 |            1996
59:14 |    22 |     1.000e-04 |     5.0828 |         19.3362 |    11.7977 |          1.1084 |            1996
00:06 |    23 |     1.000e-04 |     5.0937 |          3.0613 |     3.5964 |          0.7650 |            1996
00:58 |    24 |     1.000e-04 |     2.0602 |          3.5394 |     4.3435 |          0.7423 |            1996
01:50 |    25 |     1.000e-04 |     5.4909 |          4.8990 |     4.8759 |          0.9212 |            1996
02:42 |    26 |     1.000e-04 |     3.5960 |          4.1419 |     3.9465 |          0.8693 |            1996
03:34 |    27 |     1.000e-04 |     2.6267 |          3.6172 |     3.5161 |          0.8096 |            1996
04:26 |    28 |     1.000e-04 |     3.1959 |          2.7948 |     3.2912 |          0.7465 |            1996
05:18 |    29 |     1.000e-04 |     2.8234 |          2.9633 |     3.2246 |          0.7268 |            1996
06:11 |    30 |     1.000e-04 |     4.5525 |          9.0660 |     7.4456 |          0.9275 |            1996
07:03 |    31 |     1.000e-04 |     2.7130 |          2.9454 |     3.2521 |          0.7461 |            1996
07:55 |    32 |     1.000e-04 |     3.4247 |          6.4110 |     7.1509 |          0.7586 |            1996
08:47 |    33 |     1.000e-04 |     2.5107 |          3.4786 |     4.1481 |          0.7561 |            1996
09:39 |    34 |     1.000e-04 |     2.9702 |         10.1959 |     9.5147 |          0.9632 |            1996
10:31 |    35 |     1.000e-04 |    13.2194 |          2.8901 |     2.9528 |          0.8177 |            1996
11:23 |    36 |     1.000e-04 |     2.3408 |          2.8834 |     3.1059 |          0.7551 |            1996
12:15 |    37 |     1.000e-04 |     2.4602 |         10.9819 |     7.3908 |          0.8678 |            1996
13:07 |    38 |     1.000e-04 |     3.2588 |          2.8006 |     2.7673 |          0.7410 |            1996
14:00 |    39 |     1.000e-04 |     1.9817 |          2.9125 |     3.3460 |          0.7030 |            1996
14:52 |    40 |     1.000e-04 |     2.4841 |          3.1531 |     3.4138 |          0.7453 |            1996
15:44 |    41 |     1.000e-04 |     2.1395 |          4.3459 |     5.0582 |          0.7868 |            1996
16:36 |    42 |     1.000e-04 |     7.2939 |          3.5363 |     3.3282 |          0.8796 |            1996
17:28 |    43 |     1.000e-04 |     2.1003 |          2.6529 |     2.7883 |          0.6843 |            1996
18:20 |    44 |     1.000e-04 |     2.3567 |          2.7215 |     2.7468 |          0.7125 |            1996
19:12 |    45 |     1.000e-04 |     2.1017 |          3.0876 |     3.3169 |          0.7293 |            1996
20:04 |    46 |     1.000e-04 |     2.5812 |          4.1068 |     4.3649 |          0.8006 |            1996
20:56 |    47 |     1.000e-04 |     2.8988 |          5.8590 |     5.0663 |          0.8155 |            1996
21:48 |    48 |     1.000e-04 |     4.6368 |          2.8163 |     2.8581 |          0.7223 |            1996
22:41 |    49 |     1.000e-04 |     2.4398 |          3.0952 |     3.5868 |          0.7504 |            1996
23:33 |    50 |     1.000e-04 |     2.2474 |          4.1471 |     4.2332 |          0.7570 |            1996
24:25 |    51 |     1.000e-04 |     2.5773 |          3.4232 |     3.0878 |          0.8097 |            1996
25:17 |    52 |     1.000e-04 |     4.2047 |          6.5142 |     5.8432 |          0.9152 |            1996
26:09 |    53 |     1.000e-04 |     2.7030 |          3.3663 |     3.4484 |          0.7759 |            1996
27:01 |    54 |     1.000e-04 |     3.5834 |          3.7113 |     4.2248 |          0.7757 |            1996
27:53 |    55 |     1.000e-04 |     2.7525 |          3.4021 |     3.2782 |          0.7234 |            1996
28:45 |    56 |     1.000e-04 |     2.4146 |          4.1190 |     4.3134 |          0.7858 |            1996
29:37 |    57 |     1.000e-04 |     2.6260 |          3.2342 |     3.3696 |          0.7500 |            1996
30:29 |    58 |     1.000e-04 |     2.4665 |          3.6811 |     3.6160 |          0.7837 |            1996
31:22 |    59 |     1.000e-04 |     2.7497 |         10.0884 |     7.3716 |          0.9625 |            1996
32:14 |    60 |     1.000e-04 |     8.8813 |          3.9578 |     3.8023 |          0.7844 |            1996
33:06 |    61 |     1.000e-04 |     1.9502 |          3.1618 |     3.1113 |          0.6990 |            1996
33:58 |    62 |     1.000e-04 |     1.7096 |          2.9455 |     3.0271 |          0.6947 |            1996
34:50 |    63 |     1.000e-04 |     2.1054 |          3.2795 |     3.1402 |          0.7809 |            1996
35:42 |    64 |     1.000e-04 |     2.6170 |          5.9285 |     6.5519 |          0.8177 |            1996
36:34 |    65 |     1.000e-04 |     2.8090 |          3.6007 |     3.4634 |          0.7998 |            1996
37:26 |    66 |     1.000e-04 |     2.5280 |          4.3659 |     3.7109 |          0.8564 |            1996
38:18 |    67 |     1.000e-04 |     2.2993 |          3.2051 |     3.2034 |          0.6962 |            1996
39:11 |    68 |     1.000e-04 |     2.2926 |          3.3369 |     3.1018 |          0.7663 |            1996
40:03 |    69 |     1.000e-04 |     2.5004 |          5.7415 |     5.3085 |          0.8451 |            1996
40:55 |    70 |     1.000e-04 |    34.8274 |          4.8931 |     3.9978 |          1.1072 |            2078
41:47 |    71 |     1.000e-04 |     2.8735 |          3.4897 |     3.1829 |          0.8769 |            2078
42:39 |    72 |     1.000e-04 |     2.1042 |          3.2740 |     2.8606 |          0.8076 |            2078
43:31 |    73 |     1.000e-04 |     1.8983 |          3.1384 |     2.8318 |          0.7613 |            2078
44:23 |    74 |     1.000e-04 |     1.9610 |          3.8159 |     3.4680 |          0.7544 |            2078
45:16 |    75 |     1.000e-04 |     2.4384 |          6.4327 |     5.0487 |          0.8656 |            2078
