# First_column    Converted_second_column
300.0    0.866836
310.0    0.864146
320.0    0.861314
330.0    0.858339
340.0    0.855221
350.0    0.851958
360.0    0.848550
370.0    0.844996
380.0    0.841295
390.0    0.837448
400.0    0.833454
410.0    0.829313
420.0    0.825024
430.0    0.820588
440.0    0.816004
450.0    0.811273
460.0    0.806396
470.0    0.801371
480.0    0.796200
490.0    0.790883
500.0    0.785420
510.0    0.779811
520.0    0.774058
530.0    0.768161
540.0    0.762120
550.0    0.755936
560.0    0.749609
570.0    0.743141
580.0    0.736531
590.0    0.729781
600.0    0.722891
610.0    0.715862
620.0    0.708695
630.0    0.701390
640.0    0.693949
650.0    0.686371
660.0    0.678658
670.0    0.670811
680.0    0.662831
690.0    0.654718
700.0    0.646473
710.0    0.638096
720.0    0.629590
730.0    0.620954
740.0    0.612189
750.0    0.603297
760.0    0.594278
770.0    0.585133
780.0    0.575862
790.0    0.566467
800.0    0.556949
810.0    0.547308
820.0    0.537545
830.0    0.527660
840.0    0.517656
850.0    0.507532
860.0    0.497289
870.0    0.486929
880.0    0.476451
890.0    0.465857
900.0    0.455148
910.0    0.444324
920.0    0.433386
930.0    0.422335
940.0    0.411171
950.0    0.399896
960.0    0.388510
970.0    0.377014
980.0    0.365409
990.0    0.353695
1000.0    0.341873
1010.0    0.329944
1020.0    0.317908
1030.0    0.305767
1040.0    0.293521
1050.0    0.281170
1060.0    0.268716
1070.0    0.256159
1080.0    0.243499
1090.0    0.230738
1100.0    0.217876
1110.0    0.204914
1120.0    0.191852
1130.0    0.178691
1140.0    0.165431
1150.0    0.152074
1160.0    0.138620
1170.0    0.125069
1180.0    0.111423
1190.0    0.097681
1200.0    0.083845
1210.0    0.069915
1220.0    0.055891
1230.0    0.041774
1240.0    0.027566
1250.0    0.013265
1260.0    -0.001127
1270.0    -0.015609
1280.0    -0.030181
1290.0    -0.044843
1300.0    -0.059594
1310.0    -0.074433
1320.0    -0.089360
1330.0    -0.104374
1340.0    -0.119475
1350.0    -0.134662
1360.0    -0.149935
1370.0    -0.165294
1380.0    -0.180737
1390.0    -0.196264
1400.0    -0.211875
1410.0    -0.227570
1420.0    -0.243347
1430.0    -0.259206
1440.0    -0.275148
1450.0    -0.291170
1460.0    -0.307274
1470.0    -0.323458
1480.0    -0.339722
1490.0    -0.356065
1500.0    -0.372488
1510.0    -0.388990
1520.0    -0.405569
1530.0    -0.422226
1540.0    -0.438961
1550.0    -0.455773
1560.0    -0.472661
1570.0    -0.489625
1580.0    -0.506665
1590.0    -0.523780
1600.0    -0.540971
1610.0    -0.558235
1620.0    -0.575574
1630.0    -0.592986
1640.0    -0.610472
1650.0    -0.628030
1660.0    -0.645662
1670.0    -0.663365
1680.0    -0.681140
1690.0    -0.698986
1700.0    -0.716904
1710.0    -0.734892
1720.0    -0.752951
1730.0    -0.771079
1740.0    -0.789277
1750.0    -0.807545
1760.0    -0.825881
1770.0    -0.844286
1780.0    -0.862759
1790.0    -0.881300
1800.0    -0.899908
1810.0    -0.918584
1820.0    -0.937327
1830.0    -0.956136
1840.0    -0.975012
1850.0    -0.993953
1860.0    -1.012960
1870.0    -1.032032
1880.0    -1.051170
1890.0    -1.070372
1900.0    -1.089638
1910.0    -1.108968
1920.0    -1.128363
1930.0    -1.147820
1940.0    -1.167341
1950.0    -1.186925
1960.0    -1.206571
1970.0    -1.226280
1980.0    -1.246051
1990.0    -1.265883
2000.0    -1.285777
