# First_column    Converted_second_column
300.0    0.033244
310.0    0.021307
320.0    0.009051
330.0    -0.003515
340.0    -0.016386
350.0    -0.029554
360.0    -0.043011
370.0    -0.056752
380.0    -0.070769
390.0    -0.085058
400.0    -0.099612
410.0    -0.114426
420.0    -0.129494
430.0    -0.144811
440.0    -0.160372
450.0    -0.176172
460.0    -0.192207
470.0    -0.208471
480.0    -0.224962
490.0    -0.241674
500.0    -0.258604
510.0    -0.275747
520.0    -0.293100
530.0    -0.310660
540.0    -0.328422
550.0    -0.346383
560.0    -0.364540
570.0    -0.382890
580.0    -0.401430
590.0    -0.420156
600.0    -0.439066
610.0    -0.458157
620.0    -0.477426
630.0    -0.496870
640.0    -0.516488
650.0    -0.536275
660.0    -0.556230
670.0    -0.576351
680.0    -0.596635
690.0    -0.617080
700.0    -0.637683
710.0    -0.658443
720.0    -0.679358
730.0    -0.700424
740.0    -0.721642
750.0    -0.743007
760.0    -0.764520
770.0    -0.786177
780.0    -0.807977
790.0    -0.829918
800.0    -0.851999
810.0    -0.874217
820.0    -0.896572
830.0    -0.919061
840.0    -0.941684
850.0    -0.964438
860.0    -0.987321
870.0    -1.010334
880.0    -1.033474
890.0    -1.056739
900.0    -1.080129
910.0    -1.103642
920.0    -1.127276
930.0    -1.151031
940.0    -1.174905
950.0    -1.198898
960.0    -1.223007
970.0    -1.247231
980.0    -1.271570
990.0    -1.296023
1000.0    -1.320587
1010.0    -1.345263
1020.0    -1.370048
1030.0    -1.394943
1040.0    -1.419945
1050.0    -1.445055
1060.0    -1.470270
1070.0    -1.495590
1080.0    -1.521015
1090.0    -1.546542
1100.0    -1.572172
1110.0    -1.597903
1120.0    -1.623734
1130.0    -1.649664
1140.0    -1.675693
1150.0    -1.701820
1160.0    -1.728044
1170.0    -1.754364
1180.0    -1.780779
1190.0    -1.807289
1200.0    -1.833893
1210.0    -1.860589
1220.0    -1.887378
1230.0    -1.914258
1240.0    -1.941229
1250.0    -1.968290
1260.0    -1.995440
1270.0    -2.022679
1280.0    -2.050005
1290.0    -2.077419
1300.0    -2.104920
1310.0    -2.132506
1320.0    -2.160178
1330.0    -2.187934
1340.0    -2.215775
1350.0    -2.243699
1360.0    -2.271705
1370.0    -2.299794
1380.0    -2.327964
1390.0    -2.356216
1400.0    -2.384548
1410.0    -2.412959
1420.0    -2.441451
1430.0    -2.470020
1440.0    -2.498668
1450.0    -2.527394
1460.0    -2.556197
1470.0    -2.585077
1480.0    -2.614032
1490.0    -2.643064
1500.0    -2.672170
1510.0    -2.701351
1520.0    -2.730606
1530.0    -2.759935
1540.0    -2.789337
1550.0    -2.818812
1560.0    -2.848359
1570.0    -2.877977
1580.0    -2.907667
1590.0    -2.937428
1600.0    -2.967260
1610.0    -2.997161
1620.0    -3.027132
1630.0    -3.057172
1640.0    -3.087281
1650.0    -3.117458
1660.0    -3.147703
1670.0    -3.178016
1680.0    -3.208395
1690.0    -3.238842
1700.0    -3.269355
1710.0    -3.299933
1720.0    -3.330577
1730.0    -3.361287
1740.0    -3.392061
1750.0    -3.422899
1760.0    -3.453802
1770.0    -3.484768
1780.0    -3.515798
1790.0    -3.546891
1800.0    -3.578046
1810.0    -3.609264
1820.0    -3.640543
1830.0    -3.671884
1840.0    -3.703287
1850.0    -3.734750
1860.0    -3.766274
1870.0    -3.797859
1880.0    -3.829503
1890.0    -3.861207
1900.0    -3.892970
1910.0    -3.924793
1920.0    -3.956674
1930.0    -3.988613
1940.0    -4.020611
1950.0    -4.052667
1960.0    -4.084780
1970.0    -4.116950
1980.0    -4.149177
1990.0    -4.181461
2000.0    -4.213802
