# First_column    Converted_second_column
300.0    0.061106
310.0    0.048728
320.0    0.036004
330.0    0.022942
340.0    0.009549
350.0    -0.004166
360.0    -0.018197
370.0    -0.032536
380.0    -0.047177
390.0    -0.062114
400.0    -0.077339
410.0    -0.092847
420.0    -0.108633
430.0    -0.124690
440.0    -0.141014
450.0    -0.157598
460.0    -0.174439
470.0    -0.191530
480.0    -0.208869
490.0    -0.226449
500.0    -0.244267
510.0    -0.262318
520.0    -0.280598
530.0    -0.299104
540.0    -0.317831
550.0    -0.336776
560.0    -0.355935
570.0    -0.375305
580.0    -0.394882
590.0    -0.414663
600.0    -0.434645
610.0    -0.454825
620.0    -0.475200
630.0    -0.495766
640.0    -0.516522
650.0    -0.537464
660.0    -0.558589
670.0    -0.579896
680.0    -0.601381
690.0    -0.623042
700.0    -0.644876
710.0    -0.666882
720.0    -0.689057
730.0    -0.711399
740.0    -0.733905
750.0    -0.756574
760.0    -0.779403
770.0    -0.802391
780.0    -0.825535
790.0    -0.848834
800.0    -0.872285
810.0    -0.895887
820.0    -0.919639
830.0    -0.943538
840.0    -0.967582
850.0    -0.991771
860.0    -1.016102
870.0    -1.040573
880.0    -1.065184
890.0    -1.089933
900.0    -1.114818
910.0    -1.139837
920.0    -1.164990
930.0    -1.190275
940.0    -1.215690
950.0    -1.241235
960.0    -1.266907
970.0    -1.292706
980.0    -1.318630
990.0    -1.344679
1000.0    -1.370850
1010.0    -1.397143
1020.0    -1.423557
1030.0    -1.450090
1040.0    -1.476741
1050.0    -1.503509
1060.0    -1.530393
1070.0    -1.557392
1080.0    -1.584506
1090.0    -1.611732
1100.0    -1.639070
1110.0    -1.666518
1120.0    -1.694077
1130.0    -1.721745
1140.0    -1.749521
1150.0    -1.777404
1160.0    -1.805393
1170.0    -1.833487
1180.0    -1.861686
1190.0    -1.889988
1200.0    -1.918393
1210.0    -1.946900
1220.0    -1.975507
1230.0    -2.004215
1240.0    -2.033023
1250.0    -2.061929
1260.0    -2.090933
1270.0    -2.120034
1280.0    -2.149231
1290.0    -2.178524
1300.0    -2.207912
1310.0    -2.237394
1320.0    -2.266969
1330.0    -2.296637
1340.0    -2.326398
1350.0    -2.356249
1360.0    -2.386191
1370.0    -2.416224
1380.0    -2.446346
1390.0    -2.476556
1400.0    -2.506855
1410.0    -2.537241
1420.0    -2.567714
1430.0    -2.598274
1440.0    -2.628919
1450.0    -2.659649
1460.0    -2.690464
1470.0    -2.721363
1480.0    -2.752345
1490.0    -2.783411
1500.0    -2.814558
1510.0    -2.845787
1520.0    -2.877098
1530.0    -2.908489
1540.0    -2.939960
1550.0    -2.971511
1560.0    -3.003142
1570.0    -3.034850
1580.0    -3.066637
1590.0    -3.098502
1600.0    -3.130444
1610.0    -3.162463
1620.0    -3.194558
1630.0    -3.226728
1640.0    -3.258974
1650.0    -3.291295
1660.0    -3.323690
1670.0    -3.356160
1680.0    -3.388703
1690.0    -3.421318
1700.0    -3.454007
1710.0    -3.486768
1720.0    -3.519601
1730.0    -3.552505
1740.0    -3.585480
1750.0    -3.618525
1760.0    -3.651641
1770.0    -3.684827
1780.0    -3.718082
1790.0    -3.751407
1800.0    -3.784799
1810.0    -3.818261
1820.0    -3.851790
1830.0    -3.885386
1840.0    -3.919050
1850.0    -3.952780
1860.0    -3.986577
1870.0    -4.020441
1880.0    -4.054369
1890.0    -4.088364
1900.0    -4.122423
1910.0    -4.156547
1920.0    -4.190735
1930.0    -4.224988
1940.0    -4.259304
1950.0    -4.293683
1960.0    -4.328126
1970.0    -4.362631
1980.0    -4.397199
1990.0    -4.431829
2000.0    -4.466521
