# First_column    Converted_second_column
300.0    -0.027496
310.0    -0.039853
320.0    -0.052518
330.0    -0.065480
340.0    -0.078733
350.0    -0.092270
360.0    -0.106083
370.0    -0.120165
380.0    -0.134511
390.0    -0.149113
400.0    -0.163967
410.0    -0.179066
420.0    -0.194405
430.0    -0.209980
440.0    -0.225784
450.0    -0.241813
460.0    -0.258063
470.0    -0.274529
480.0    -0.291207
490.0    -0.308093
500.0    -0.325183
510.0    -0.342473
520.0    -0.359959
530.0    -0.377638
540.0    -0.395506
550.0    -0.413560
560.0    -0.431798
570.0    -0.450215
580.0    -0.468809
590.0    -0.487577
600.0    -0.506516
610.0    -0.525623
620.0    -0.544896
630.0    -0.564333
640.0    -0.583930
650.0    -0.603685
660.0    -0.623596
670.0    -0.643662
680.0    -0.663878
690.0    -0.684244
700.0    -0.704757
710.0    -0.725416
720.0    -0.746217
730.0    -0.767160
740.0    -0.788242
750.0    -0.809462
760.0    -0.830818
770.0    -0.852308
780.0    -0.873931
790.0    -0.895684
800.0    -0.917566
810.0    -0.939576
820.0    -0.961712
830.0    -0.983972
840.0    -1.006356
850.0    -1.028861
860.0    -1.051486
870.0    -1.074231
880.0    -1.097093
890.0    -1.120071
900.0    -1.143164
910.0    -1.166371
920.0    -1.189690
930.0    -1.213120
940.0    -1.236661
950.0    -1.260311
960.0    -1.284068
970.0    -1.307932
980.0    -1.331902
990.0    -1.355977
1000.0    -1.380155
1010.0    -1.404436
1020.0    -1.428818
1030.0    -1.453300
1040.0    -1.477883
1050.0    -1.502564
1060.0    -1.527342
1070.0    -1.552218
1080.0    -1.577189
1090.0    -1.602256
1100.0    -1.627417
1110.0    -1.652671
1120.0    -1.678017
1130.0    -1.703456
1140.0    -1.728985
1150.0    -1.754604
1160.0    -1.780313
1170.0    -1.806111
1180.0    -1.831996
1190.0    -1.857968
1200.0    -1.884027
1210.0    -1.910171
1220.0    -1.936400
1230.0    -1.962714
1240.0    -1.989111
1250.0    -2.015591
1260.0    -2.042154
1270.0    -2.068798
1280.0    -2.095523
1290.0    -2.122328
1300.0    -2.149213
1310.0    -2.176178
1320.0    -2.203220
1330.0    -2.230341
1340.0    -2.257539
1350.0    -2.284815
1360.0    -2.312166
1370.0    -2.339593
1380.0    -2.367095
1390.0    -2.394672
1400.0    -2.422322
1410.0    -2.450047
1420.0    -2.477844
1430.0    -2.505714
1440.0    -2.533656
1450.0    -2.561669
1460.0    -2.589754
1470.0    -2.617909
1480.0    -2.646134
1490.0    -2.674429
1500.0    -2.702792
1510.0    -2.731225
1520.0    -2.759726
1530.0    -2.788294
1540.0    -2.816930
1550.0    -2.845633
1560.0    -2.874402
1570.0    -2.903237
1580.0    -2.932138
1590.0    -2.961104
1600.0    -2.990135
1610.0    -3.019231
1620.0    -3.048390
1630.0    -3.077613
1640.0    -3.106900
1650.0    -3.136249
1660.0    -3.165660
1670.0    -3.195134
1680.0    -3.224670
1690.0    -3.254267
1700.0    -3.283924
1710.0    -3.313643
1720.0    -3.343422
1730.0    -3.373261
1740.0    -3.403159
1750.0    -3.433117
1760.0    -3.463133
1770.0    -3.493208
1780.0    -3.523342
1790.0    -3.553533
1800.0    -3.583782
1810.0    -3.614088
1820.0    -3.644452
1830.0    -3.674871
1840.0    -3.705348
1850.0    -3.735880
1860.0    -3.766468
1870.0    -3.797112
1880.0    -3.827811
1890.0    -3.858564
1900.0    -3.889372
1910.0    -3.920235
1920.0    -3.951152
1930.0    -3.982122
1940.0    -4.013145
1950.0    -4.044222
1960.0    -4.075352
1970.0    -4.106535
1980.0    -4.137770
1990.0    -4.169056
2000.0    -4.200395
